,Normalized PX_LAST,Normalized ipca 1 year ahead,average,median,up-down
2008-09-05,-0.7326011036791541,-0.2594117249331739,-0.496006414306164,-0.178532065958862,0
2008-09-08,-0.6864447770433775,-0.2627468163015328,-0.4745957966724551,-0.18071017416053703,0
2008-09-09,-0.67673724078527,-0.265742104436049,-0.47123967261065947,-0.18288828236221205,0
2008-09-10,-0.14681372151692082,-0.26724765088442876,-0.20703068620067477,-0.18362969129575107,0
2008-09-11,-0.15587958716363856,-0.27207365120644794,-0.21397661918504324,-0.1843711002292901,0
2008-09-12,-0.1295983036641605,-0.27502881475238034,-0.20231355920827043,-0.18442253518943386,0
2008-09-15,-0.007244595076777992,-0.2967352849880756,-0.1519899400324268,-0.1843711002292901,1
2008-09-16,0.05914525795028357,-0.29967730810674376,-0.12026602507823009,-0.18362969129575107,1
2008-09-17,0.013749417513286049,-0.3025928412029958,-0.14442171184485486,-0.18288828236221205,1
2008-09-19,0.0374332299936147,-0.2968721047537034,-0.12971943738004435,-0.18071017416053703,1
2008-09-22,-0.015942449898670857,-0.31338911623477755,-0.1646657830667242,-0.178532065958862,1
2008-09-23,-0.0049337546464485816,-0.33663186078635976,-0.17078280771640417,-0.17709964239587214,1
2008-09-24,0.0691140959639333,-0.33937075730405386,-0.13512833067006028,-0.17566721883288228,1
2008-09-25,0.1911571915900449,-0.3420830318084113,-0.0754629201091832,-0.17393928162452874,1
2008-09-30,0.3960021154131687,-0.36795272896733755,0.01402469322291558,-0.1722113444161752,1
2008-10-06,0.23095738070713812,-0.39623283685361727,-0.08263772807323957,-0.17149707606628967,1
2008-10-08,0.18864858024624964,-0.393990036667419,-0.10267072821058468,-0.17078280771640417,1
2008-10-09,0.23151390624308696,-0.3966674987387037,-0.08257679624780838,-0.17053787745014476,1
2008-10-10,0.2066754531082417,-0.39608107527313846,-0.09470281108244838,-0.17029294718388538,1
2008-10-13,0.08251933914735664,-0.3900713566252238,-0.15377600873893357,-0.16822665088367242,1
2008-10-14,0.11517005687802116,-0.4019496726458565,-0.14338980788391767,-0.16616035458345946,1
2008-10-15,0.5207186690945402,-0.39217541220723984,0.0642716284436502,-0.16541306882509182,1
2008-10-16,0.47141535323163614,-0.38613531907932414,0.042640017076156,-0.1646657830667242,1
2008-10-17,0.540322422160973,-0.3665921568948241,0.08686513263307447,-0.1645033696234388,1
2008-10-22,0.48451620967016606,-0.33160289339339266,0.0764566581383867,-0.16434095618015343,1
2008-10-24,0.43453443333207636,-0.3338904017342819,0.050322015798897224,-0.1629341096325833,1
2008-10-31,0.4140649327389864,-0.319918667621708,0.04707313255863921,-0.1615272630850132,1
2008-11-03,0.43434829522294194,-0.30846088020085877,0.06294370751104159,-0.16095323612913798,1
2008-11-06,0.877138567295413,-0.2884912423242451,0.29432366248558395,-0.16037920917326276,1
2008-11-07,0.7270972745200253,-0.2669642811155737,0.2300664967022258,-0.16029845891361824,1
2008-11-11,0.9719194346542139,-0.2738281435584867,0.3490456455478636,-0.16021770865397372,1
2008-11-25,0.9708366219867176,-0.2976388929421869,0.3365988645222654,-0.15973032907112888,1
2008-11-26,0.952096033490782,-0.2670012311703623,0.3425474011602099,-0.15924294948828405,1
2008-11-27,0.9333775696637823,-0.2696744184927812,0.33185157558550055,-0.1583416877227118,1
2008-11-28,1.0220541068025006,-0.27975970080209434,0.37114720300020315,-0.15744042595713953,1
2008-12-01,0.9333222404764554,-0.266203049129999,0.33355959567322824,-0.15713845709482172,1
2008-12-02,0.11517005687802116,-0.2856846298288327,-0.08525728647540576,-0.1568364882325039,1
2008-12-03,0.074084091397816,-0.30934579970879056,-0.11763085415548728,-0.15611100524561622,1
2008-12-05,0.09964152159744134,-0.31703390824530603,-0.10869619332393235,-0.1553855222587285,1
2008-12-08,-0.13549779688032745,-0.3211453546179206,-0.22832157574912404,-0.15611100524561622,0
2008-12-11,0.7122463228376941,-0.32570830087926067,0.1932690109792167,-0.1553855222587285,1
2008-12-12,0.7113482803144235,-0.3275566126135762,0.19189583385042366,-0.15458076549883104,1
2008-12-18,0.8584389325730195,-0.49872237366940786,0.17985827945180582,-0.15377600873893357,1
2008-12-19,0.87178657333884,-0.42198451763375433,0.22490102785254285,-0.15327812112055395,1
2008-12-22,0.8268804317289301,-0.4352465822059361,0.195816924761497,-0.15278023350217432,1
2008-12-31,0.7055268307399167,-0.447331129057243,0.12909785084133688,-0.1524701227119925,1
2009-01-02,0.6955496153221337,-0.44838675905241315,0.12358142813486026,-0.1521600119218107,1
